ACOT9
OSTM1
CCNY
HIF1AN
DDHD1
NSF
TP53INP1
C7orf26
IL28RA
GABARAPL2
CREG1
FOXP1
MEX3C
TTC21B
TOR1B
PAIP1
USP11
SDHC
RP2
HBXIP
ADRB2
IRF1
RELT
DUSP14
C7orf43
DGCR14
DOK1
MON1B
TIMM22
TRRAP
NIT1
COG1
CCDC127
GBA
CLCN7
ETV3
MRPS25
FXC1
NUAK1
SLC35A4
CALM1
KCTD10
MCOLN1
ATP6V0C
CD300A
TFAP2C
TBCC
CTSB
ZFP36L2
C19orf53
CDC34
CLTA
SELPLG
TMEM59
NDRG1
OSTF1
MBOAT1
SREK1
KRIT1
MAP3K2
ZC3H11A
TRAT1
ELF1
YIPF1
RBM26
NUP153
CGGBP1
SC5DL
WDR48
C20orf30
MRPS14
MGST3
HCFC2
SAR1B
C5orf22
TMEM87B
THUMPD1
SH3GLB1
GOLT1B
ITGB1
RNMT
ING3
C1orf131
ZBTB11
COMMD2
FAM3C
YIPF5
CNIH
ZBTB33
DCUN1D2
YARS2
RPL5
YKT6
NOP10
GTF2A2
COX7B
AGK
WRN
TMEM168
NPC2
SNRPC
ARPC3
CCBL2
ZRANB2
SNRPE
ATP5F1
ALG8
SRP9
ERH
HEATR1
CKS1B
WDR82
GOSR2
MFSD1
C14orf166
TIMM8A
SEC61G
MANEA
SCP2
USMG5
C6orf130
HDAC3
ERAL1
M6PR
RPA2
SENP7
FAM188A
C6orf62
TBRG1
FBXO38
TIAL1
KPNA4
PRPF3
C3orf17
CHURC1-FNTB
RRP7A
RRP8
CWF19L1
C1orf43
PSME3
MTIF2
HCCS
ZNF706
ETFDH
RSPRY1
PDCD10
TMX2
RBM18
UBE2A
GHITM
HERPUD1
MRPL32
PIK3R4
FAM103A1
CCL3
MERTK
MRPL44
PRPF38B
ISG20L2
NLE1
EMG1
LSM6
SNX6
MRPS17
NUDT21
SF3B4
CXorf21
MRPS18C
BUD31
FRMD6
TMEM192
RNF4
MRPL49
HSPB11
ARL6IP1
CAPN2
DCTN5
SERF2
SCAMP1
AACS
RFT1
CES2
LSM5
GYG1
AP2M1
RPL7L1
FAM126A
GLYCTK
COX4NB
TMEM101
GSTO1
RNASEH1
TNPO2
DDX55
C19orf42
APOL1
PHF12
FGD4
RABIF
ALDH3A2
ST6GAL1
IL2RG
ZNF664
ATG3
AMD1
TTC32
GTF2E1
CTC1
KDSR
FBXO9
KLHDC2
SETD3
TMED4
NDUFB2
NEDD1
ZNF3
ZNF800
POLR2J
C6orf211
MUS81
POGLUT1
CCNL1
HGSNAT
NDUFA6
GNL3
CELF1
UHRF2
SRSF11
LSM3
OPA3
DCBLD1
MED24
EMP3
PHTF2
TOP3A
ZDHHC4
PARK7
SLCO4A1
TMEM194A
WDR45
BTN2A2
MAT2B
CLEC7A
CLPX
ATP5G3
BUD13
FANCF
TNFAIP8
SS18L2
SYPL1
BCKDHA
C6orf89
HLA-B
MRPL54
NDUFA7
GPR137
UQCR10
COX6C
CAPNS1
GLB1
CASP3
IFNAR2
SLC9B2
DEGS1
BRP44
UQCRFS1
TARS2
NDUFA8
MGAT5
P2RX4
RIC8A
ATP6V0B
IZUMO4
USF1
NDUFS2
CD2BP2
VPS4A
RICTOR
C12orf35
SMG9
GUF1
FAM168B
BCAP29
C1orf85
ARAF
LIMK2
PLSCR3
CIC
ENPP4
BLZF1
PODXL
DDX39B
CCDC25
NDUFB5
SLC39A6
ZC3H14
ASAH1
C1GALT1C1
NKTR
SECISBP2
BNIP2
ZDBF2
TMEM106B
CD28
DAZAP2
CDC42
FAIM3
ERMP1
SF3A1
HEXB
IPO8
MTRR
IDH3G
ORMDL1
TMEM111
DCTD
RPL4
MPDU1
MRP63
SP1
MSMO1
RAD21
C7orf11
TRIP10
POP5
MTUS1
KLF3
PPP3CB
ARNT
LTA4H
AHCYL1
PANK3
UFL1
SEL1L
ATP13A3
TMEM123
CEBPZ
CSTF1
LBR
NCBP2
SERINC1
DARS2
OSGEP
DDX59
BTG3
BUB1
TRAP1
DDX42
CD46
ATP7A
TMEM209
NFYB
MRE11A
ZC3H7A
CEP192
ATP5J
IBTK
WDR36
LTV1
PTCD3
COPB1
NGLY1
PEX1
PIGK
MTCH2
C21orf91
BTF3L4
ABCE1
ACTR2
TOMM20
GDI2
UGGT1
SEC63
CALU
SRP72
ADSL
PUM2
UFSP2
PHF3
IFI16
NUP54
UGGT2
TOPBP1
TTC14
CD164
ARFGAP3
FARSB
STT3B
CYCS
NUP205
STT3A
PON2
GLT8D1
SPCS1
PSMG2
UBR5
DDX18
PARM1
ZNHIT3
EXOSC10
LAMP1
GLO1
EIF1AX
TMBIM4
TMEM93
YWHAB
UFM1
SF1
ATP5B
POLR2B
ACP1
HM13
PA2G4
SEC61B
SEC11C
TM9SF2
DAD1
ARHGDIB
IDH3A
POLR2G
COPZ1
GART
UMPS
SSR1
SSR4
SRPR
TRAM1
BCLAF1
MAN2A1
RSL1D1
CDK4
RPN1
FH
SEC61A1
C11orf10
SUGP2
ITGA4
SLC38A5
COG2
EIF3L
PRKD3
DPH2
EBNA1BP2
SLC39A14
BYSL
SRPRB
TMED2
SURF4
PAK1IP1
EXOSC3
SETD7
NCK2
PSMG1
POLR2E
VPS35
CD2AP
METTL11A
VPRBP
ENY2
STX5
MRPS21
RPL10
RPL22
CCAR1
POLR1B
TSN
PTDSS1
MCFD2
TARDBP
NCAPD3
BUB3
HDAC2
CAP1
TPP2
OSTC
ENOPH1
FKBP11
ACTR3
SMPD4
RFC1
SH3BGRL
MAPK1
KPNA2
ANAPC5
PTBP1
NR2C2AP
PRPF19
XRCC6
PEBP1
DPAGT1
SMAD4
COX7C
PRPF8
KRTCAP2
SAT2
RFXANK
PGK1
TUBGCP2
KRAS
NBR1
CDC42SE1
TNFAIP3
MID1IP1
NPM3
GNB2L1
MIOS
NDUFA10
NDUFA9
CD48
LUC7L3
NIP7
ARMCX3
MCRS1
ASNSD1
CSF2RB
RNF167
DNASE2
SLC25A3
YIPF3
QTRT1
NDUFB1
RPL24
B2M
MRPL46
CALR
C12orf45
RPL18
RPL17-C18ORF32
COX7A2
WDR18
EFCAB4B
FAM208B
OTUD6B
EEA1
ATP8A1
SMAD5
RIOK1
BET1
YTHDF1
PPP1R8
YIPF6
NBN
SLC25A32
CPSF7
PPAPDC1B
SNW1
LIG4
ESCO1
CEP76
VAMP4
ZC3H13
PLDN
MYSM1
TANK
C1D
BLMH
EIF4E3
DGAT2
CYB5D1
LHX8
CCNL2
COIL
C11orf1
UXT
HSF2
TMEM41B
VAMP3
AP1S3
ZBTB40
RNF14
DENND4A
LUC7L
ACYP2
RABEP1
RC3H2
SSH1
DNPEP
MANBAL
MRPS11
PPP2R5C
WTAP
FAM40A
CCNT1
SUCLA2
MRPL39
MRPL45
RABGGTB
FAN1
KANSL2
PTPRE
LITAF
COPS4
LETMD1
TAPT1
VPS29
CNOT8
GOT2
RNF114
TSC22D3
SLC38A2
NDUFAB1
GORAB
FLI1
PITRM1
TACO1
GOLGA4
CDK17
PDP2
N4BP1
KIN
DIAPH1
OBFC2A
PAFAH2
HIPK2
RNF10
C16orf70
TOP3B
ZNF749
UBE2J2
GOLGA2
SNIP1
SMG5
PRKCI
SLC35D1
DSTYK
MADD
CABLES1
CCDC93
PDE3B
STAT3
FBXO32
RAB11FIP1
IQSEC1
USP22
BCL2L11
SLC39A1
INADL
VANGL1
TMEM218
CMTM6
MAPK1IP1L
SRRM2
MBD6
SNAP29
ZNF252
TAF11
CYLD
GTF3C4
PITX1
PROSC
RFK
TGFA
TOMM40L
RPUSD4
NSMCE4A
TEX261
VPS33A
TIMMDC1
GPKOW
POLDIP3
FAM82A2
RHBDD2
TNKS1BP1
RPS3A
PDRG1
ACBD5
GSPT2
CEP85
PPCDC
SARS2
ITFG2
NCOR2
RAD9A
CHERP
KANSL3
BOLA3
RPS6KB2
RNF123
APLP2
C11orf57
C8orf33
RCL1
TOMM22
TIMM10
VPS72
HTRA2
STRA13
RDH13
STK11IP
SIK1
FAM102A
C10orf26
MAML1
RAB11FIP5
MARCKSL1
MLL4
C20orf29
MYLIP
ULK1
ABCA7
HDHD3
ADCK2
IRF2BPL
DGAT1
TMEM115
NRBP1
ST3GAL2
CEND1
OTUD5
IBA57
MKRN1
DSCR3
INPP5K
TSEN34
CORO1B
TARBP2
KAT5
CSNK1D
MAFK
CDC25B
TOLLIP
EML3
TRAPPC4
CYTH2
GBA2
MRPS15
TMEM205
SPTBN1
MFN2
RFNG
AIP
TMUB2
RELA
ARFGAP2
PSMG3
POMGNT1
BCL7B
NAGPA
POLR3E
PPP6R2
RPL3
CCDC102A
C15orf57
JUND
CTU2
KIF21B
C19orf6
UBE2M
ATF5
CDR2
RASGEF1B
IFNGR1
FAM63A
ARAP1
ARHGEF3
CCDC28A
GPR107
SYT11
ITGAV
LAPTM4A
SNX14
CD55
TIPARP
TXNIP
ATN1
PPP2R4
RAC1
H3F3B
RRAGC
BTG2
TOR1AIP1
E4F1
MTHFR
CC2D1B
CMBL
C9orf167
UNKL
SWI5
KIAA0895L
SH3BP5L
ZMIZ2
C1orf63
PDZD11
LZTR1
ATP6V0E2
TMEM107
NDUFS5
IST1
BRMS1
UBXN1
AKR1B1
ANXA6
PSAP
KIAA0907
C7orf73
C18orf8
ELAC2
CYB561D2
NDUFB9
OAZ1
ATF4
ECSIT
B4GALT3
RPLP1
NOP56
