ANKIB1
ATM
WHSC1L1
CCDC14
C9orf5
ZNF644
PDK3
RAPH1
ZDHHC20
SETX
CENPC1
BCKDHB
MYO5C
ARMC8
RASA1
FOXN2
LNPEP
DPYD
UPF2
NT5DC1
KIFAP3
CDC42SE2
SPG11
MED12
REST
MPV17
R3HDM1
PSMF1
DLAT
TXLNA
CSDE1
TWSG1
DIS3
DENR
EDC3
NUP133
VAPB
TRMT61B
PCID2
RPRD1B
RNF168
LARS
UBLCP1
LSM12
EIF2B1
MED14
SLC35E1
USP53
KDM3A
ATRX
STAMBP
NFKB1
AGFG1
AVL9
BIVM-ERCC5
VPS41
DENND1B
TTC17
HSD17B4
TAF15
NCKAP1L
DARS
KBTBD2
EPHX2
STK24
LDOC1
CBX1
PAIP2
QKI
CAST
SIL1
UGDH
RNF34
MRPS28
SLC25A20
KANK1
ARHGAP6
DDI2
CBL
OAT
BTBD7
PIP4K2A
CRK
SYMPK
IKZF5
ZNF460
ZFP64
MLL5
OSBPL11
ZFYVE20
TUT1
BRD4
CCDC43
ABCC1
NPRL3
TRAPPC12
SON
DOCK2
PRKCA
PSMD9
CMC1
MKL1
SFT2D2
TNRC6B
ERC1
SNX2
DPY30
RPL41
SYNJ2BP-COX16
ATP9B
SGPL1
SESN1
POGZ
MYO1D
PABPC1
RAP1A
LSM14A
TRIM24
C6orf115
IKZF3
MCM3AP
HIST1H4C
FAM36A
PHIP
C5orf32
PLEKHA2
ZNF652
PHAX
DNAJC1
PFAS
NDUFS1
RPL14
SRRM1
UBE2E3
FUBP3
PPPDE1
RBM15
SEC16A
COMMD7
CBFB
CD99L2
PPP5C
ATP6V1B2
GGCX
KLHL18
RNF7
STX4
GRB2
RAB7A
MPHOSPH8
TPM3
NUDCD3
RCHY1
PARVB
MOB3A
ISCA1
ZNF622
ANKFY1
FAM204A
RBM25
STAG1
NOL9
RRP12
NOP2
FTSJ3
FAM98A
SNRPD1
RPL23
CSGALNACT1
SNX4
CHST11
CAMTA1
TRIM35
RETSAT
HMGA1
CHD4
EPHX1
RGL1
SPINT1
NEO1
PPP3CA
PEG10
INSR
PLEKHB1
PIAS4
ANP32A
TAF4
UNC45A
ASPSCR1
GIT1
C19orf29
YY1
C16orf57
PRMT2
VPS33B
NFKBIE
UXS1
ZNF444
C19orf25
HECA
ZNF296
PACS1
NTAN1
PMM1
BRD1
PPP2R5D
JUP
LDLRAP1
TPRA1
RPL13
PRIC285
GTF3C5
HDAC1
UCKL1
CXXC1
ELL
CMIP
PLXNA1
C1orf212
OTUB1
IRF2BP1
NOL3
RASSF1
MAGEH1
C12orf57
TGFB1
SOD2
MAEA
SPAG7
KATNB1
ZNF48
NEDD8-MDP1
MVD
LMF2
MRPL4
ZC3H18
POLRMT
ZNF593
TSR2
HSPBP1
BANF1
DNAJC8
NARFL
HEBP1
ATXN1
LRRC16A
STRBP
PIK3R1
KDM5B
PWWP2A
ENTPD4
BASP1
WWP2
GAB2
GRIPAP1
UBAP1
MGEA5
ZER1
SYAP1
TBC1D17
WIPF2
SPG7
MEF2D
RHOG
PTPN1
RELB
JUNB
ACACB
GLG1
STAT6
TBL1X
ANKRD40
CCNI
SFT2D1
TESC
GALNT2
STAU1
NAP1L4
ARID3B
BAX
C3orf37
NARF
PCDH1
MAD2L1BP
H1FX
CABIN1
MYO18A
UTRN
CTNNB1
RPL27A
CPSF1
AP2A2
VPS16
CTNNA1
FAM177A1
SMG6
GPI
ASXL1
DTNBP1
DNAJC14
CAPZB
PNP
USP3
RPL28
FBXL18
C2orf76
SETD1B
PLCG2
TUFT1
SSBP3
REXO1
SEPHS2
H2AFX
QDPR
NAPA
UBP1
TAB1
HIRA
TOMM5
GIT2
FXR2
HAUS8
ZNHIT1
KIAA0947
MTDH
SMG7
ZNF121
CSDA
ZDHHC16
UBE3A
COMMD10
AEBP2
PARL
ACBD6
AKAP13
DHX57
STIM2
WASF2
RSF1
ADK
UIMC1
FAM69A
AUTS2
FOXN3
RPL23A
SAFB2
CARD11
FAM134C
C1orf21
ARID1B
XPR1
TRAPPC10
GAK
CTDP1
SLC25A25
RABGAP1L
PPP1R2
EHMT1
PEPD
PANK2
PACSIN2
FOXO3
MAP7
UBE2G1
CCDC12
OSBPL2
TNS3
SUPT5H
EDC4
ZGPAT
SGSM3
GLTSCR2
PPM1B
RPS26
BCL2L1
PRPF6
RPS19
TOMM7
NEK9
SOLH
PABPC4
TXNDC12
HEXA
GNG7
GGNBP2
ICAM2
CCDC97
EEF2
SLC25A22
TINF2
CNOT3
PLCG1
RPL36AL
RHOC
PLIN3
MRPL43
GNAI2
CC2D1A
ZNF646
TOMM6
CIZ1
COMMD5
ANAPC2
RAD23A
DPP3
NFKBIB
HPCAL1
INTS1
BAD
CCDC88B
USE1
ZMAT2
AKAP8L
EHD1
C9orf23
VDR
FHOD1
C12orf62
UBE2S
CCDC9
TRIM8
PKM2
CCDC94
RPS3
RBM8A
MEA1
FIS1
PMF1-BGLAP
RPS28
IKBKE
FAM207A
EEF1A1
PICK1
IFI30
SNRPA
ACTN4
TP53
AAAS
RPL18A
QSOX1
SART1
TAF6L
ARFGAP1
DPP9
PLEKHM2
MPND
DBNL
CXorf26
VAC14
AP2S1
CRKL
RAVER1
SCAF1
MRPL53
CRELD2
SLC25A42
PDE4DIP
GRHL3
ASL
LANCL2
PPDPF
G6PD
UBE2I
AKAP8
FUCA1
G6PC3
C1orf174
STK10
TLN1
MYOM2
PNPO
MRPL40
TMSB4X
MLEC
NOM1
FOXRED1
HCFC1
DDX23
ATP6V1F
C17orf49
PJA1
ROMO1
RPS25
PEX5
C10orf2
DNM2
CHD1L
TRIM44
RPLP0
PCIF1
ZDHHC3
VHL
HCLS1
C9orf86
KXD1
C7orf42
HMOX2
MTMR14
NUMA1
BRPF1
CCDC88C
TBCD
PIGY
THOP1
SMARCA4
HEATR2
C9orf16
KIAA1274
FASN
PIN1
LMNB2
ERO1L
SNRNP200
RRNAD1
C4orf3
RCSD1
PGRMC2
ANP32B
RHOA
DEPTOR
SERPINB6
EIF4EBP2
WBP1
SUMO3
HNRNPUL1
CHSY1
SRSF2
SLAIN1
FEM1B
ATP5E
EXOSC7
GCN1L1
CRCP
AATF
MBD2
LUC7L2
PPP1CB
UQCRH
THRAP3
SRSF3
GTF3C1
SH3GL1
MINOS1
CCDC57
DDX54
MRPS26
NOP14
SAFB
UFC1
VKORC1L1
GNB1
RBCK1
MAP2K2
LRPAP1
NOC2L
MYH9
EEF1D
RPS15
ATP13A1
COMT
ALDH16A1
C7orf50
RPL7A
HNRNPUL2
NDUFA3
RPL35
RPS16
MRPL20
HIST1H1E
RPLP2
SRSF6
BTG1
TTC3
RWDD4
TPD52
GEMIN5
HEATR3
ACAD9
XRN2
MYCBP2
NUP160
RBM3
CBX5
CAPRIN1
HNRNPA3
INCENP
EIF3A
LEMD3
XRCC1
DDX46
EEF1B2
RPL7
NPNT
C11orf80
HP1BP3
FAM120A
OCIAD2
URB1
MAT2A
WDR3
CHCHD8
GOLGA7
SMEK1
TIMM50
ITPA
NEK4
ACOT7
RCC2
NIPA2
NOL6
SRP68
PMM2
SIAH2
UTP18
MRPS7
HNRNPA2B1
C1orf109
PSME2
EXOSC2
RPL6
UBAP2L
MAN2B2
C22orf32
ODF2
PRRC2B
MYCBP
PPP1R7
FAU
LSM7
APOBEC3B
CTSO
APOBEC3C
TRUB2
NDUFB3
KIAA0913
EIF3K
CLPP
RPS8
RPS15A
BIN2
SDHD
CCND2
