C17orf61
RABGGTA
BRD3
ZNF282
LRP10
SNX17
ICAM3
POLR1C
RNASEK
APPL2
C22orf39
EIF4E2
MRPL23
KCTD12
ETV6
PECR
DOLK
FMNL1
SAP30L
TNK2
MAP3K11
JHDM1D
ARHGAP21
HS6ST1
P4HTM
ZCCHC3
ANKRD52
KBTBD4
TMEM9B
ZNF263
RAI1
SMAD7
PYGO2
PRR12
IMP3
VPS18
MEPCE
TK2
TTC38
TMEM203
KIAA2013
FPGS
HINT2
SETDB1
GET4
ABTB1
SMARCD1
TIMP2
PCNXL3
UCK1
LLGL2
PHRF1
ZNF787
BAG1
HPS1
FAM108A1
TMEM175
NCDN
SBF1
FBRS
TPGS1
EXOSC6
STK25
PNKD
HSF1
FLII
HEXDC
RAP2B
LDLR
GNPTG
DIEXF
FTSJ1
SRM
HN1L
DDX39A
C19orf48
TBRG4
GNPAT
ALDH18A1
PSMD7
KLHDC3
STBD1
MTMR1
PRKACA
FMN1
FAM111B
SUV39H1
ASH2L
TMEM106C
EIF2AK1
PPCS
IPO9
DNAJC10
NAE1
ACAT1
GGH
CENPF
NCAPG2
CHEK1
YEATS4
SMC3
ZDHHC5
CCDC50
IL16
ENO1
ADSS
HK2
ZDHHC2
GLRX5
SLFN13
SLC39A8
ZYX
ICMT
MGAT2
RASGRP3
USP1
PIP4K2B
ARL6IP5
CD53
NFE2L3
GM2A
PRCP
MDH1
NRAS
RECQL
CDK1
TSPAN3
PRPS2
ASNA1
IMPDH1
DDB1
HMGN2
PPP1CA
DPY19L1
KCNQ1
SUN1
TMCO1
PDK1
UBA2
PRDX4
SCD
ITM2C
RFC4
SSR2
SFXN1
ITGA8
MYL12A
SMYD5
TBL2
PTPMT1
GMPPB
NUDT16L1
MTA2
TRIP13
TMEM109
RANBP1
CKAP2
LIPA
LY75-CD302
FANCI
ERAP1
HNRNPR
KIAA0528
ELOVL1
TCTN3
EMB
TOP2B
LAPTM5
H3F3B
PLP2
IGJ
CD44
HNRNPK
SEPHS1
CERS2
KDELR1
CSTB
ACADM
MYL12B
CD59
TMEM14C
TMBIM6
QPCT
HIGD2A
PDCD4
TRAPPC6A
CYP51A1
HBD
TNFRSF17
SCNN1B
SEMA4A
NDUFV2
GLOD4
NUP85
PPP2R1A
TXNDC17
TAPBPL
TRPT1
TMEM184B
F11R
GRINA
SCAMP4
SNX20
ACAA2
FDPS
DDX5
PDCD2L
GSTK1
TRAF3IP3
MRPL16
VAMP8
C21orf33
FKBP8
PAM
BNIP3L
INSIG1
FAT1
LAX1
CCR1
ORC6
ELMOD2
FEN1
NKD2
PCF11
RNF26
RASSF4
NAGK
DUSP22
RGS3
MMAB
WBSCR16
PLA2G15
C3orf75
RARRES3
N4BP3
C16orf58
SASH3
B3GAT3
WDR5
MLX
MGAT3
PDPK1
EMD
POLDIP2
HADHA
TXNDC11
CRYBB1
TMEM14B
CXorf40B
ACTL6A
IMP4
PEX10
NT5C1B-RDH14
PEX11B
APRT
MINK1
ARL6IP6
DENND3
LAT2
ZNF496
GPR108
REPIN1
MX1
PERP
FAM55C
TCN2
HSDL1
CCDC69
CXCL16
EI24
ARRDC1
APEH
CENPB
SEMA4B
LSM14B
MAF1
TMEM129
MFSD12
