NOC2L
SDF4
UBE2J2
CPSF3L
GLTPD1
CCNL2
LOC148413
MRPL20
SSU72
CDK11B
NADK
GNB1
RER1
PEX10
PANK4
TPRG1L
WRAP73
LRRC47
CEP104
C1orf174
KCNAB2
RPL22
ICMT
ACOT7
NOL9
KLHL21
PHF13
DNAJC11
CAMTA1
VAMP3
PARK7
RERE
ENO1
CLSTN1
UBE4B
KIF1B
PGD
DFFA
TARDBP
SRM
EXOSC10
UBIAD1
AGTRAP
MTHFR
KIAA2013
PLOD1
MIIP
PRDM2
EFHD2
DNAJC16
DDI2
SPEN
FBXO42
C1orf144
NECAP2
SDHB
RCC2
UBR4
KIAA0090
MRTO4
MUL1
DDOST
HP1BP3
ECE1
USP48
CDC42
ZBTB40
KDM1A
HNRNPR
RPL11
TCEB3
PITHD1
FUCA1
IL28RA
NIPAL3
SRRM1
CLIC4
RUNX3
SYF2
C1orf63
TMEM50A
TMEM57
LDLRAP1
FAM54B
PAFAH2
ZNF593
CEP85
SH3BGRL3
DHDDS
HMGN2
RPS6KA1
ARID1A
SLC9A1
WDTC1
WASF2
STX12
PPP1R8
RPA2
EYA3
DNAJC8
ATPIF1
SESN2
PHACTR4
RCC1
TAF12
GMEB1
EPB41
SRSF4
LAPTM5
PUM1
SNRNP40
ZCCHC17
PEF1
PTP4A2
KHDRBS1
KPNA6
TXLNA
HDAC1
MARCKSL1
BSDC1
ZBTB8OS
RBBP4
YARS
AK2
C1orf212
ZMYM6
SFPQ
ZMYM4
KIAA0319L
NCDN
PSMB2
C1orf216
ADPRHL2
TRAPPC3
MAP7D1
THRAP3
STK40
LSM10
MRPS15
ZC3H12A
MEAF6
SNIP1
GNL2
C1orf109
INPP5B
SF3A3
UTP11L
RRAGC
MYCBP
AKIRIN1
NDUFS5
PABPC4
PPIE
CAP1
PPT1
RLF
ZMPSTE24
SMAP2
NFYC
CTPS
PPCS
PPIH
YBX1
LEPRE1
C1orf50
SLC2A1
ELOVL1
MED8
SZT2
KDM4A
IPO13
DPH2
ATP6V0B
DMAP1
ERI3
RNF220
RPS8
EIF2B3
UROD
AKR1A1
NASP
TMEM69
MAST2
PIK3R3
POMGNT1
LRRC41
UQCRH
NSUN4
MKNK1
ATPAF1
KIAA0494
CMPK1
RNF11
EPS15
OSBPL9
NRD1
RAB3B
TXNDC12
BTF3L4
CC2D1B
ZCCHC11
SELRC1
ZYG11B
SCP2
CPT2
MAGOH
LRP8
TMEM48
YIPF1
HSPB11
LRRC42
TMEM59
MRPL37
SSBP3
TTC4
JUN
TM2D1
INADL
USP1
ITGB3BP
EFCAB7
JAK1
PDE4B
MIER1
SLC35D1
SERBP1
GADD45A
SRSF11
ANKRD13C
ZRANB2
CRYZ
LHX8
RABGGTB
PIGK
USP33
FUBP1
PRKACB
RPF1
GNG5
C1orf52
ZNHIT6
SH3GLB1
LMO4
PKN2
GTF2B
CCBL2
GBP3
ZNF326
ZNF644
HFM1
RPAP2
RPL5
FAM69A
TMED5
DR1
DNTTIP2
GCLM
DPYD
HIAT1
RTCD1
SLC30A7
PRPF38B
STXBP3
CLCC1
TMEM167B
SARS
SORT1
PSMA5
GNAI3
AHCYL1
FAM40A
RBM15
HBXIP
KCNA3
CD53
LRIF1
ATP5F1
RAP1A
CAPZA1
RHOC
SLC16A1
HIPK1
TRIM33
BCAS2
CSDE1
SIKE1
VANGL1
ATP1A1
CD58
MAN1A2
FAM46C
PHGDH
NOTCH2
SEC22B
NOTCH2NL
TXNIP
RBM8A
PEX11B
POLR3C
RNF115
CHD1L
BCL9
ACP6
SF3B4
VPS45
PLEKHO1
ANP32E
APH1A
MRPS21
PRPF3
TARS2
MCL1
ENSA
GOLPH3L
CTSS
ARNT
SETDB1
CERS2
CDC42SE1
SCNM1
VPS72
PSMD4
ZNF687
PI4KB
RFX5
PSMB4
POGZ
TUFT1
SNX27
MRPL9
TDRKH
S100A10
CHTOP
ILF2
GATAD2B
SLC39A1
JTB
RPS27
TPM3
C1orf43
UBAP2L
HAX1
ATP8B2
IL6R
UBE2Q1
ADAR
KCNN3
PMVK
PBXIP1
PYGO2
SHC1
CKS1B
FLAD1
ADAM15
DPM3
KRTCAP2
MTX1
GBA
SCAMP3
FDPS
ASH1L
DAP3
GON4L
SYT11
RIT1
KIAA0907
ARHGEF2
SSR2
UBQLN4
LAMTOR2
LMNA
SLC25A44
SMG5
C1orf85
CCT3
MEF2D
APOA1BP
GPATCH4
ISG20L2
RRNAD1
MRPL24
HDGF
PRCC
SH2D2A
ETV3
IFI16
AIM2
DUSP23
TAGLN2
PEA15
COPA
NCSTN
CD48
SLAMF7
LY9
USF1
ARHGAP30
PFDN2
NIT1
DEDD
UFC1
B4GALT3
NDUFS2
TOMM40L
SDHC
FCRLA
DUSP12
ATF6
UHMK1
UAP1
MGST3
ALDH9A1
TMCO1
UCK2
POGK
TADA1
CREG1
RCSD1
MPZL1
BRP44
DCAF6
TIPRL
SFT2D2
BLZF1
SCYL3
KIFAP3
GORAB
VAMP4
METTL13
C1orf9
PRDX6
KLHL20
DARS2
RC3H1
RABGAP1L
CACYBP
MRPS14
RFWD2
TOR3A
ABL2
SOAT1
TOR1AIP2
TOR1AIP1
CEP350
QSOX1
ACBD6
XPR1
MR1
IER5
GLUL
RGS16
DHX9
SMG7
NCF2
ARPC5
RGL1
TSEN15
C1orf21
FAM129A
IVNS1ABP
PLA2G4A
RGS1
RGS2
UCHL5
TROVE2
GLRX2
CDC73
NEK7
ZNF281
CAMSAP2
KIF21B
TMEM9
IPO9
TIMM17A
RNPEP
ARL8A
KDM5B
RABIF
KLHL12
ADIPOR1
CYB5R1
TMEM183B
BTG2
ATP2B4
LAX1
ZC3H11A
SNRPE
PPP1R15B
MDM4
RBBP5
DSTYK
NUCKS1
SRGAP2
IKBKE
RASSF5
EIF2D
MAPKAPK2
FAIM3
PFKFB2
CD55
CD46
PLXNA2
TRAF3IP3
DIEXF
SLC30A1
INTS7
NSL1
TATDN3
ANGEL2
CENPF
GPATCH2
RRP15
IARS2
MIA3
AIDA
BROX
CAPN2
FBXO28
DEGS1
NVL
CNIH4
WDR26
LBR
SRP9
EPHX1
TMEM63A
PYCR2
C1orf55
H3F3B
ACBD3
PARP1
ADCK3
JMJD4
SNAP47
ARF1
C1orf35
MRPL55
IBA57
RNF187
NUP133
ABCB10
COG2
TTC13
C1orf131
GNPAT
EXOC8
C1orf124
EGLN1
TSNAX
C1orf31
TARBP1
IRF2BP2
TOMM20
RBM34
ARID4B
GGPS1
TBCE
B3GALNT2
ERO1LB
LGALS8
HEATR1
MTR
FH
ADSS
PPPDE1
FAM36A
HNRNPU
TFB2M
CNST
AHCTF1
ZNF496
SH3BP5L
LARP4B
GTPBP4
WDR37
KLF6
NET1
FAM208B
GDI2
FBXO18
RBM17
PFKFB3
SFMBT2
KIN
ATP5C1
CELF2
UPF2
NUDT5
CDC123
OPTN
PHYH
SEPHS1
PRPF18
FAM107B
HSPA14
RPP38
ITGA8
FAM188A
RSU1
VIM
STAM
DNAJC1
PIP4K2A
KIAA1217
ARHGAP21
ABI1
YME1L1
RAB18
WAC
ZEB1
KIF5B
EPC1
ITGB1
CUL2
CREM
CCNY
BMS1
CSGALNACT2
HNRNPF
RASSF4
SGMS1
CISD1
UBE2D1
TFAM
CCDC6
CDK1
ARID5B
ADO
NRBF2
JMJD1C
REEP3
HNRNPH3
SLC25A16
CCAR1
DDX21
KIAA1279
SRGN
VPS26A
SUPV3L1
AIFM2
PPA1
EIF4EBP2
KIAA1274
SGPL1
PSAP
DDIT4
DNAJB12
P4HA1
ECD
DNAJC9
ANXA7
PPP3CB
SEC24C
CHCHD1
KIAA0913
CAMK2G
AP3M1
ADK
COMTD1
ZNF503
DLG5
POLR3A
RPS24
ZMIZ1
PPIF
ANXA11
GHITM
WAPAL
BMPR1A
GLUD1
MINPP1
ATAD1
PTEN
RNLS
RPP30
TNKS2
BTAF1
MARCH5
IDE
CYP26A1
NOC3L
PDLIM1
ALDH18A1
TCTN3
BLNK
TM9SF3
RRP12
PGAM1
EXOSC1
ZDHHC16
PI4K2A
ZFYVE27
GOT1
COX15
CHUK
CWF19L1
BLOC1S2
SCD
NDUFB8
HIF1AN
MRPL43
C10orf2
POLL
DPCD
NPM3
MGEA5
HPS6
PPRC1
NOLC1
GBF1
NFKB2
FBXL15
CUEDC2
ACTR1A
SUFU
TRIM8
ARL3
C10orf26
NT5C2
USMG5
SLK
GSTO1
ITPRIP
MXI1
SMNDC1
DUSP5
SMC3
PDCD4
SHOC2
ACSL5
VTI1A
CASP7
C10orf118
FAM160B1
TRUB1
ATRNL1
C10orf46
EIF3A
PRDX3
GRK5
TIAL1
BAG3
MCMBP
SEC23IP
ATE1
NSMCE4A
IKZF5
BUB3
CHST15
OAT
C10orf137
UROS
BCCIP
PTPRE
MKI67
GLRX3
TUBGCP2
ECHS1
MTG1
BET1L
RIC8A
PSMD13
RNH1
IRF7
TALDO1
CEND1
SLC25A22
RPLP2
PNPLA2
CD151
POLR2L
CHID1
AP2A2
TOLLIP
CTSD
LSP1
MRPL23
TSSC4
KCNQ1
NAP1L4
CARS
NUP98
RHOG
STIM1
RRM1
TRIM21
TRIM68
HBD
SMPD1
FXC1
RRP8
ILK
TAF10
TPP1
MRPL17
ZNF215
PPFIBP2
EIF3F
RPL27A
TMEM9B
TMEM41B
IPO7
ZNF143
ADM
CTR9
EIF4G2
USP47
BTBD10
FAR1
COPB1
PSMA1
PDE3B
CYP2R1
C11orf58
PLEKHA7
RPS13
PIK3C2A
GTF2H1
TSG101
SPTY2D1
HTATIP2
PRMT3
FANCF
GAS2
SVIP
LIN7C
C11orf46
DNAJC24
EIF3M
PRRG4
HIPK3
CD59
FBXO3
CAPRIN1
NAT10
CAT
PDHX
CD44
TRIM44
COMMD9
TRAF6
TTC17
HSD17B12
EXT2
CD82
PEX16
AMBRA1
ARHGAP1
CKAP5
ARFGAP2
ACP2
MADD
SPI1
PSMC3
CELF1
PTPMT1
KBTBD4
NDUFS3
NUP160
TNKS1BP1
SSRP1
TIMM10
UBE2L6
ZDHHC5
MED19
TMX2
LPXN
ZFP91
FAM111B
FAM111A
OSBP
PATL1
STX3
MRPL16
CCDC86
PRPF19
TMEM109
DDB1
DAK
CPSF7
SDHAF2
C11orf10
FEN1
FTH1
INCENP
EEF1G
TUT1
MTA2
EML3
B3GAT3
GANAB
INTS5
C11orf48
C11orf83
UBXN1
BSCL2
HNRNPUL2
TTC9C
POLR2G
TAF6L
TMEM179B
NXF1
STX5
WDR74
SLC3A2
RARRES3
ATL3
RTN3
C11orf84
COX8A
OTUB1
STIP1
FERMT3
VEGFB
FKBP2
PPP1R14B
BAD
ESRRA
TRMT112
PRDX5
CCDC88B
SF1
MEN1
EHD1
ATG2A
PPP2R5B
SNX15
ZFPL1
C11orf2
TM7SF2
FAU
MRPL49
SYVN1
POLA2
DPF2
FRMD8
SCYL1
LTBP3
SSSCA1
EHBP1L1
MAP3K11
PCNXL3
RELA
KAT5
RNASEH2C
CFL1
MUS81
FIBP
C11orf68
DRAP1
SART1
EIF1AD
BANF1
SF3B2
PACS1
KLC2
YIF1A
BRMS1
MRPL11
DPP3
BBS1
CCS
RBM14
RBM4B
RHOD
KDM2A
RAD9A
PPP1CA
RPS6KB2
CORO1B
AIP
CDK2AP2
GSTP1
NDUFV1
UNC93B1
NDUFS8
