GeneID,0h,1.5h,3h,6h,9h,12h
TECR,2.328608899,1.978954736,2.220859079,2.79086431,2.078301955,0.975173469
NOL7,2.328306853,3.308441891,4.036864289,2.444157002,2.846135183,1.840631548
HSPB1,2.326489283,14.15620113,1.341186867,2.699235313,4.008614282,2.83290387
PCBP1,2.325455595,1.656019656,2.134404939,1.824217685,2.153934366,1.820136351
SEC61G,2.325348847,1.969357138,1.893636032,4.246178283,5.561225375,2.975025364
POLR2I,2.321225733,2.484206541,2.693720331,2.631190162,3.153012531,0.6336771
SH3BGRL3,2.320192191,2.80563242,2.573515354,2.72253305,3.549021867,1.98356183
TRMT112,2.319074834,3.373727301,3.431597629,3.330963946,3.870277329,2.310086126
RNF181,2.317495124,2.403707392,2.804580262,3.199475844,4.242752624,1.837315655
ECI2,2.316795578,1.605113177,2.580959945,3.050044152,2.878546472,1.997753521
RPL35,2.315350973,2.875145342,2.978371982,1.944927625,1.981793668,0.88181812
HIST1H2BK,2.309382745,3.249161222,2.511824394,4.9269944,0.604501476,0.927027731
BUD31,2.309382745,2.287751913,3.354838178,3.081660463,2.365481937,3.684271662
C6orf115,2.307727273,2.024110786,1.463236625,2.057358974,0.951294428,1.609181851
RFXANK,2.303582925,1.629854493,2.783601798,2.250254796,3.132929648,2.377293615
S100A10,2.303345143,1.956263887,1.664168982,2.494892231,2.542908415,2.219095531
JUP,2.302995806,2.348853677,2.340129357,1.589018538,0.958341053,1.126184583
ENDOG,2.290137889,1.798447313,4.343363015,2.672419638,3.06263956,1.474693056
CWC15,2.286288917,1.734096036,1.950169994,2.193191393,1.878340174,0.962431257
PARK7,2.284377284,2.023158629,2.821358225,2.499721531,2.68313813,3.313581562
ZMAT2,2.28239087,2.748376568,2.953226769,2.095355535,2.474088931,1.531103204
AK2,2.281749106,2.499260932,3.49613058,3.297114767,4.614164678,1.733899283
NDUFB7,2.275913429,2.915773452,3.432491862,2.508007733,3.014531611,2.707915903
CCDC72,2.275235209,2.135085395,2.534816807,2.448031691,2.196045361,1.502930574
TRAPPC5,2.273115709,4.080008399,2.854529816,2.182138917,3.802628179,1.653185499
DYNLL1,2.26777662,2.066404808,2.11547328,2.653817662,2.90563164,2.819714422
GPRC5D,2.267438513,1.592266996,2.320519493,2.015868391,2.821400058,1.142087478
MRPL18,2.264449569,3.087644341,1.291117037,1.318981859,1.407381631,1.250247731
DNAJC19,2.261205146,2.440747813,2.767852071,1.7843845,2.307151983,1.57852296
CD63,2.261060063,2.661757431,4.018971872,2.899255452,4.694442529,2.397186987
RPS26,2.255240549,4.506877734,2.555872181,2.374197365,1.589894854,1.375314498
PSMA7,2.237516403,2.227437338,2.060923033,2.382866626,2.841433028,2.380319498
ATP5D,2.237008927,3.387539374,3.601785701,2.297423169,2.316614646,1.569139854
IL2RG,2.233595102,1.827883394,2.015288954,2.674329371,2.997494674,2.965475296
BLOC1S1,2.232941638,3.131540097,3.493692625,2.671031312,3.186304289,2.001143375
RHOA,2.227675248,2.436122192,2.533376198,2.049520296,1.918874527,1.630277101
NOP16,2.219072548,2.384255452,2.683549243,2.712745151,2.794867796,2.482378052
C19orf70,2.218245024,2.676362902,2.924418787,2.481726573,3.251000823,1.34810196
MZB1,2.21746437,3.200357114,2.831149389,2.445179974,3.632041,1.777762806
THYN1,2.216229128,2.838706417,2.422679873,2.960559385,2.210226612,1.566420375
GABARAP,2.213002001,2.638939563,2.394795184,2.671944357,3.320823734,2.851827835
NME1-NME2,2.203779807,2.169144264,2.392741398,2.329581875,2.612231497,1.519975866
PSMG1,2.200153288,1.231428979,2.616854969,1.785391699,2.871424882,1.376551239
TMEM199,2.200049648,2.145109822,1.84290104,1.605672282,2.086533232,1.165889809
JSRP1,2.19334779,3.532682261,3.898917162,2.055729759,3.543828976,2.19100304
RABAC1,2.192698942,2.759285332,3.343984473,3.019359602,3.541890162,2.049850111
FXYD5,2.188928101,2.074561159,1.966295206,2.308752312,2.19267202,2.096182983
LAMTOR2,2.187726599,2.567112328,2.338847727,2.814860025,3.821485615,1.314968683
LRPAP1,2.186178205,2.516189677,2.552591476,1.617601802,1.418481385,1.048491057
ATP5G3,2.181262701,1.667125834,2.007781016,2.962013392,4.864270274,3.519029011
AURKAIP1,2.17848408,3.074122135,3.375308377,2.36917202,2.60678473,1.066283877
TMEM208,2.178296376,2.665861746,2.770510558,2.959102468,3.698112947,1.866650946
APRT,2.176223351,2.594232219,2.686923591,1.943917815,3.622266221,2.722334655
POLR3K,2.17375233,2.465681741,2.949519356,3.20254636,3.08473073,2.577230104
PPP1R7,2.17128108,2.354003246,1.532547393,1.889354033,2.773254309,1.484559423
MARCKS,2.171169687,2.463759878,3.875266285,1.576135453,1.755487736,1.058536635
GLRX2,2.169898659,1.269864033,1.915586991,2.679681648,2.712766308,5.31726291
FBL,2.169862693,2.683109911,3.002059274,2.261836772,2.033282851,0.937834292
TALDO1,2.169528292,2.430304339,1.859635135,1.966411426,2.722334889,2.51434
NCL,2.166064103,2.140725396,2.455313608,2.159645521,2.211407883,1.086365698
SDF2,2.165946845,1.737244773,1.541094101,1.883850799,2.621672395,1.178162333
FAM177A1,2.163635034,1.836650046,2.107138526,1.593199533,0.928603001,1.288270962
MTX1,2.162849563,3.636120916,3.282503261,2.47372767,3.058777469,1.666519777
ZNF460,2.162220276,2.27159721,2.344479574,1.875352224,1.088617125,0.987171174
EIF6,2.157071773,3.120633916,2.585793725,2.179931382,2.285876907,1.206017734
GPI,2.154183224,1.848064125,2.117698533,1.496201128,1.315673955,1.134216332
GADD45A,2.14117744,3.548392607,3.032865553,2.23741001,2.847907203,1.450306
BCAP31,2.140180444,2.150851343,2.401154745,2.054294444,3.111599382,2.045529084
C7orf59,2.1384979,4.060593858,3.816095881,2.653538411,3.384962156,1.010734934
HSPE1-MOB4,2.136678406,2.483198548,1.50146624,3.429042417,3.780201933,2.320584204
NDUFV3,2.128408474,2.128603021,1.320617133,1.216476245,1.2101445,1.362138966
TXNDC17,2.120684462,3.057584026,3.231357424,3.28424397,2.545717482,3.180563235
NDUFA6,2.120568086,2.461762963,2.250871377,2.978558742,4.118452217,5.758344315
TMEM160,2.119444381,1.901595816,3.931850119,1.741476822,3.756680348,1.277515636
BLVRA,2.118504087,2.438593425,4.010861504,2.358186036,1.591122572,2.413252678
FAU,2.118280177,2.391609413,1.847144433,2.095420819,2.402934404,1.728568934
GRPEL1,2.112084273,2.073381115,1.978892902,1.880929535,1.991376335,1.371270503
PSMB1,2.109337529,1.821793629,1.607140408,1.95195878,2.369630803,1.475570617
MYC,2.107977457,2.616839382,2.826251668,2.154225931,2.486516071,1.553011943
NDUFAF3,2.101897862,2.152294767,2.79655213,2.673838375,3.646216823,2.107509133
EIF3K,2.101514248,2.315774665,1.886755425,2.329419426,2.39232288,0.971983925
BEX5,2.100302826,2.555084105,3.426014793,2.429517929,3.129799849,2.349630562
CXCR4,2.098556212,1.765095742,1.680965013,3.048330644,2.829619837,0.707971246
DCXR,2.097669218,2.231806121,2.817877919,2.299105794,2.681395831,0.898906805
MRPL51,2.09573695,3.208506564,3.381030214,3.081200517,4.300576829,2.74318394
HNRNPA0,2.094201424,2.668327476,2.909984058,1.759398315,1.710095256,1.816834516
PSMC3,2.093987975,2.010373666,2.966331086,2.273802424,2.906485677,1.856539078
TRAPPC1,2.091196618,1.618303135,2.270042261,2.817824881,3.241697117,1.159246883
FUCA1,2.090150304,1.296483039,1.698610536,1.235460923,1.292484942,1.045483338
POP5,2.085328809,1.068001612,1.670793676,1.520102649,2.806101371,2.384111513
ALYREF,2.079811274,2.630492185,3.279256125,2.634844593,3.437884886,1.465956241
G6PC3,2.079498983,1.759830801,2.01692383,1.506721811,1.414930348,1.306913606
APOBEC3C,2.075610402,1.940641436,1.914123593,2.093674375,2.133394717,1.267718592
EAPP,2.072029518,2.148660027,1.929876634,1.613173641,1.587037533,0.887139352
RTP4,2.072029517,1.565812283,1.436111965,1.447933048,2.103596831,2.969671961
SEC61B,2.070590085,1.666945362,1.941784601,2.841086113,3.945871097,2.804650837
METTL11A,2.066521731,1.797393736,3.147563704,3.001585507,2.950106168,1.144038729
PAF1,2.066402643,1.521269789,2.557990237,1.759055935,2.293480098,0.569607409
ATP5G2,2.064587741,1.628143518,2.117074429,2.687107415,3.062472759,1.688253071
IK,2.061269505,2.680821547,2.562713445,2.313992486,2.195310079,1.155932855
SRA1,2.060572464,1.973448108,1.567443065,1.256886326,1.858866108,0.94440781
LDHA,2.060461195,1.847377704,1.834769459,1.693808139,2.138723141,1.765564618
FIS1,2.058702758,2.204218259,2.384128611,2.912080694,2.785034737,1.005603203
STMN1,2.05307474,2.087469907,2.992694819,2.228787127,2.409945883,1.458321052
UBB,2.052929633,2.574413021,2.716089337,2.44337036,2.132729357,1.691895909
C19orf60,2.051670632,3.355156013,2.477303804,1.370083731,1.887531808,1.196969313
PSMB4,2.050194487,2.755096412,2.558857068,2.269310159,3.13691303,2.268521416
ILF2,2.046344941,1.772839789,1.793592874,1.820748229,2.271278362,1.674816664
C12orf44,2.044681564,2.686079159,2.652107453,1.980463872,2.244642737,0.940462915
MRPS21,2.040051223,1.417490433,2.182285421,3.136452532,2.31997457,1.408272163
SURF2,2.037250076,3.214230155,2.505786356,2.118000203,2.28529351,2.552685055
EIF4A1,2.036139833,1.94706729,1.963694833,2.155410984,2.403752925,1.756595064
WAS,2.02750927,2.005972681,1.991755652,2.043779585,2.018928174,1.939927691
RPL39L,2.022680976,1.760267833,2.512019655,1.862321076,1.491871261,1.664321648
NDUFB2,2.017136472,1.529365445,2.417395888,2.191732442,2.458443247,2.541682102
ENY2,2.015914258,1.474482386,2.16793723,2.727936685,2.212906283,1.650196589
EBNA1BP2,2.011679143,1.777119899,2.720097029,2.626674694,2.634126896,2.395701749
TNFRSF17,2.008706464,1.548055933,1.894532034,2.70850879,2.815953615,2.032870283
DUSP23,2.008625922,2.922354973,2.289784317,2.147161763,2.6053469,1.340159654
C5orf32,2.008243108,1.548215626,2.114719369,2.127289678,1.382006881,1.183635216
IRF2BP1,2.006597007,3.168505084,2.257859345,1.736776734,1.606630589,1.293315168
SF3B4,2.003365771,1.332092463,2.207965789,2.363585129,2.268974119,3.787498001
SPINT1,2.001886685,1.571168696,1.973535385,1.736095927,1.330682587,1.533958073
PRDX6,2.001465045,1.872593617,1.638015456,1.395919678,1.636499455,1.827919829
POLR2L,2.000983494,2.167519405,2.835051107,3.44670014,3.305384492,1.728960786
PSMA3,1.998019124,1.525005216,1.348063548,2.23248045,2.567344381,1.244929952
ALDOC,1.997889102,2.876533872,2.006080311,1.672141853,2.667418734,2.07630369
C6orf125,1.996530467,1.23148332,2.019331402,2.130852764,2.68341492,1.55896123
SSB,1.993187688,2.20539526,1.782943957,2.581248671,2.276881386,1.929756736
DPM1,1.992290974,1.382704162,1.448413877,1.558790422,1.894492732,0.923752904
EXOSC4,1.990503574,2.764886332,2.839241193,2.633566042,3.614918825,1.042492099
XCR1,1.989932547,1.906017436,2.183613823,2.432858747,2.171926537,3.400781077
MRFAP1L1,1.989760572,2.922577717,2.339595026,1.636908118,1.954407333,1.723062413
NOP14,1.988773097,2.307089996,2.749583868,1.521121763,1.160888566,0.794770485
LDHB,1.98737704,1.478360253,1.724396442,2.147439423,2.829545199,1.806701312
MRP63,1.987209596,1.467984477,1.588244685,1.952938718,2.728616414,3.829027583
STX4,1.986388096,1.718499222,2.25924931,1.341479596,1.204972941,0.530406195
ANP32E,1.986355525,1.624778871,1.670723488,1.314576646,1.262543871,1.531611033
ITM2B,1.98524374,1.771638066,1.959329586,1.885692696,2.300784572,5.320333061
VAMP8,1.978780288,1.662235229,2.709754382,2.315930077,3.128061071,2.269451741
QDPR,1.977832851,2.938918797,3.188632064,1.403778085,1.672785966,1.32902876
PLBD2,1.977515891,1.981128425,1.119773277,0.980216089,1.614155791,1.7037744
NUDT5,1.977349237,1.528819714,1.801962724,2.542128849,2.503718097,1.46841349
PRDX1,1.977343959,2.077106499,2.148784042,2.821510078,2.928908353,1.798525892
TAGLN2,1.973821804,2.199684747,2.178444088,1.88261741,2.788229884,1.467959666
WDR54,1.97358601,2.944903741,2.449129789,2.388453692,3.189634258,2.242716155
SNRPD2,1.972550822,2.10708818,2.760667856,2.761296316,3.360442023,1.523549923
GMFG,1.969602139,2.468107284,2.52180975,3.111045035,2.31402764,3.988570397
