Name	Search Term	KEGG
citric acid	KRKNYBCHXYNGOX-UHFFFAOYSA-N	C00158
cholesterol	HVYWMOMLDIMFJA-DPAQBDIFSA-N	C00187
capric acid	GHVNFZFCNZKVNT-UHFFFAOYSA-N	C01571
butane-2	OWBTYPJTUOEWEK-UHFFFAOYSA-N	Not Found
beta-alanine	UCMIRNVEIXFBKS-UHFFFAOYSA-N	C00099
benzoic acid	WPYMKLBDIGXBTP-UHFFFAOYSA-N	C00180
behenic acid	UKMSUNONTOPOIO-UHFFFAOYSA-N	C08281
asparagine	DCXYFEDJOCDNAF-REOHCLBHSA-N	C00152
arachidonic acid	YZXBAPSDXZZRGB-DOFZRALJSA-N	C00219
arachidic acid	VKOBVWXKNCXXDE-UHFFFAOYSA-N	C06425
aminomalonate	JINBYESILADKFW-UHFFFAOYSA-N	C00872
alloxanoic acid NIST	DRCQVLMKJUNDGK-UHFFFAOYSA-N	Not Found
alanine	QNAYBMKLOCPYGJ-REOHCLBHSA-N	C00041
acetoacetate	WDJHALXBUFZDSR-UHFFFAOYSA-M	C00164
3-hydroxybutyric acid	WHBMMWSBFZVSSR-UHFFFAOYSA-N	Not Found
3-hydroxybutanoic acid	WHBMMWSBFZVSSR-UHFFFAOYSA-N	Not Found
2,4-diaminobutyric acid	OGNSCSPNOLGXSM-UHFFFAOYSA-N	Not Found
2,3-dihydroxypyridine	GGOZGYRTNQBSSA-UHFFFAOYSA-N	Not Found
2-ketoisocaproic acid	BKAJNAXTPSGJCU-UHFFFAOYSA-N	C00233
2-hydroxyvaleric acid	JRHWHSJDIILJAT-UHFFFAOYSA-N	Not Found
2-hydroxybutanoic acid	AFENDNXGAFYKQO-UHFFFAOYSA-N	C05984
2-deoxytetronic acid NIST	DZAIOXUZHHTJKN-UHFFFAOYSA-N	Not Found
2-deoxyerythritol	ARXKVVRQIIOZGF-UHFFFAOYSA-N	Not Found
1,5-anhydroglucitol	MPCAJMNYNOGXPB-SLPGGIOYSA-N	C07326
